timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1618572029893,640,HTTP Request add,200,OK,Ass1 1-8,text,true,,587,435,10,10,http://www.dneonline.com/calculator.asmx,639,0,321
1618572029276,751,HTTP Request add,200,OK,Ass1 1-1,text,true,,587,435,9,9,http://www.dneonline.com/calculator.asmx,750,0,397
1618572029300,728,HTTP Request add,200,OK,Ass1 1-2,text,true,,587,435,9,9,http://www.dneonline.com/calculator.asmx,723,0,374
1618572029393,662,HTTP Request add,200,OK,Ass1 1-3,text,true,,587,435,9,9,http://www.dneonline.com/calculator.asmx,662,0,331
1618572029817,675,HTTP Request add,200,OK,Ass1 1-7,text,true,,587,435,10,10,http://www.dneonline.com/calculator.asmx,675,0,346
1618572029505,655,HTTP Request add,200,OK,Ass1 1-4,text,true,,587,435,10,10,http://www.dneonline.com/calculator.asmx,655,0,312
1618572029708,623,HTTP Request add,200,OK,Ass1 1-6,text,true,,587,435,10,10,http://www.dneonline.com/calculator.asmx,623,0,302
1618572029599,633,HTTP Request add,200,OK,Ass1 1-5,text,true,,587,435,10,10,http://www.dneonline.com/calculator.asmx,633,0,317
1618572029993,653,HTTP Request add,200,OK,Ass1 1-9,text,true,,587,435,10,10,http://www.dneonline.com/calculator.asmx,653,0,325
1618572030091,692,HTTP Request add,200,OK,Ass1 1-10,text,true,,587,435,10,10,http://www.dneonline.com/calculator.asmx,692,0,353
1618572030555,329,HTTP Request divide,200,OK,Ass1 1-2,text,true,,597,442,10,10,http://www.dneonline.com/calculator.asmx,329,0,0
1618572030554,330,HTTP Request divide,200,OK,Ass1 1-6,text,true,,597,442,10,10,http://www.dneonline.com/calculator.asmx,330,0,0
1618572030555,329,HTTP Request divide,200,OK,Ass1 1-4,text,true,,597,442,10,10,http://www.dneonline.com/calculator.asmx,329,0,0
1618572030554,330,HTTP Request divide,200,OK,Ass1 1-5,text,true,,597,442,10,10,http://www.dneonline.com/calculator.asmx,330,0,0
1618572030558,326,HTTP Request divide,200,OK,Ass1 1-8,text,true,,597,442,10,10,http://www.dneonline.com/calculator.asmx,326,0,0
1618572030555,334,HTTP Request divide,200,OK,Ass1 1-1,text,true,,597,442,10,10,http://www.dneonline.com/calculator.asmx,334,0,0
1618572030554,338,HTTP Request divide,200,OK,Ass1 1-3,text,true,,597,442,10,10,http://www.dneonline.com/calculator.asmx,337,0,0
1618572030554,341,HTTP Request divide,200,OK,Ass1 1-7,text,true,,597,442,10,10,http://www.dneonline.com/calculator.asmx,341,0,0
1618572030650,326,HTTP Request divide,200,OK,Ass1 1-9,text,true,,597,442,10,10,http://www.dneonline.com/calculator.asmx,326,0,0
1618572030785,342,HTTP Request divide,200,OK,Ass1 1-10,text,true,,597,442,10,10,http://www.dneonline.com/calculator.asmx,341,0,0
1618572030886,311,HTTP Request multiply,200,OK,Ass1 1-2,text,true,,606,448,10,10,http://www.dneonline.com/calculator.asmx,311,0,0
1618572030886,314,HTTP Request multiply,200,OK,Ass1 1-6,text,true,,606,448,10,10,http://www.dneonline.com/calculator.asmx,314,0,0
1618572030887,316,HTTP Request multiply,200,OK,Ass1 1-8,text,true,,606,448,10,10,http://www.dneonline.com/calculator.asmx,316,0,0
1618572030886,317,HTTP Request multiply,200,OK,Ass1 1-4,text,true,,606,448,10,10,http://www.dneonline.com/calculator.asmx,317,0,0
1618572030887,316,HTTP Request multiply,200,OK,Ass1 1-5,text,true,,606,448,10,10,http://www.dneonline.com/calculator.asmx,316,0,0
1618572030893,331,HTTP Request multiply,200,OK,Ass1 1-1,text,true,,606,448,10,10,http://www.dneonline.com/calculator.asmx,331,0,0
1618572030896,328,HTTP Request multiply,200,OK,Ass1 1-3,text,true,,606,448,10,10,http://www.dneonline.com/calculator.asmx,328,0,0
1618572030898,330,HTTP Request multiply,200,OK,Ass1 1-7,text,true,,606,448,10,10,http://www.dneonline.com/calculator.asmx,330,0,0
1618572030980,341,HTTP Request multiply,200,OK,Ass1 1-9,text,true,,606,448,10,10,http://www.dneonline.com/calculator.asmx,341,0,0
1618572031131,316,HTTP Request multiply,200,OK,Ass1 1-10,text,true,,606,448,10,10,http://www.dneonline.com/calculator.asmx,316,0,0
1618572031200,312,HTTP Request subtract,200,OK,Ass1 1-2,text,true,,606,450,10,10,http://www.dneonline.com/calculator.asmx,312,0,0
1618572031203,314,HTTP Request subtract,200,OK,Ass1 1-6,text,true,,606,450,10,10,http://www.dneonline.com/calculator.asmx,314,0,0
1618572031207,317,HTTP Request subtract,200,OK,Ass1 1-8,text,true,,606,450,8,8,http://www.dneonline.com/calculator.asmx,317,0,0
1618572031207,320,HTTP Request subtract,200,OK,Ass1 1-4,text,true,,606,450,8,8,http://www.dneonline.com/calculator.asmx,320,0,0
1618572031207,324,HTTP Request subtract,200,OK,Ass1 1-5,text,true,,606,450,7,7,http://www.dneonline.com/calculator.asmx,324,0,0
1618572031227,312,HTTP Request subtract,200,OK,Ass1 1-1,text,true,,606,450,5,5,http://www.dneonline.com/calculator.asmx,312,0,0
1618572031228,322,HTTP Request subtract,200,OK,Ass1 1-3,text,true,,606,450,4,4,http://www.dneonline.com/calculator.asmx,322,0,0
1618572031233,330,HTTP Request subtract,200,OK,Ass1 1-7,text,true,,606,450,3,3,http://www.dneonline.com/calculator.asmx,330,0,0
1618572031325,335,HTTP Request subtract,200,OK,Ass1 1-9,text,true,,606,450,2,2,http://www.dneonline.com/calculator.asmx,335,0,0
1618572031451,329,HTTP Request subtract,200,OK,Ass1 1-10,text,true,,606,450,1,1,http://www.dneonline.com/calculator.asmx,328,0,0
